Feature \ Sample	SRS011061	SRS011134	SRS011239
1|K9Y9K4	0	0	0
1|K9YP54	0	0	0
1|L0EJD5	0	0	0
1|L0KAZ3	0	0	0
1|L1M8U3	0	0	0
1|L7FEP3	0	0	0
1|M1ZFI5	0	0	0
1|M2PZC9	0.0137987	0.000165165	0.00104239
1|M3AU22	0	0	0
1|M5TD75	0	0	0
1|N6X2W8	0	0	0
1|N9WKS2	0	0	0
1|Q0AY44	0	0	0
1|Q0F2V3	0	0	0
1|Q2JPN9	0	0	0
1|Q2RQ00	0	0	0
1|Q47E92	0	0	0
1|Q67T93	0	0	0
1|Q8DK76	0	0	0
1|Q97KD9	0	0	0
1|Q9CPG6	0	0	0.00446739
1|R1AWY5	0	0	0
1|R2NJ21	0	0	0
1|R4LC53	0	0	0
1|R5EDR5	0	0	0
1|R5GYD7	0.00346122	0.00107716	0
1|R5IJR4	0	0	0
1|R5JCZ4	0	0	0
1|R5LDZ3	0	0	0
1|R5MJE9	0	0.00313814	0
1|R5NCJ0	0	0	0
1|R5QA50	0	0.000458792	0
1|R5QAY2	0	0.00217323	0
1|R5R3I2	0.000737111	0.0348682	0.00248189
1|R5XDI9	0	0	0
1|R5YGI7	0.00796079	0	0.0402065
1|R6CH48	0	0	0
1|R6D7U8	0	0	0
1|R6G2H9	0	0	0
1|R6GC91	0	0	0
1|R6H243	0	0	0
1|R6H5M8	0.0459534	0.0380598	0.0251728
1|R6MEG1	0.000390235	0	0
1|R6QHY0	0	0	0
1|R6RB28	0	0	0
1|R6RB59	0.0170314	0.0145417	0.0278634
1|R6RET5	0	0	0
1|R6RR91	0	0	0
1|R6T5Y9	0.00216881	0.000661719	0.00276826
1|R6T7G5	0	0.000179527	0
1|R6WJ09	0	0	0
1|R6Y484	0	0.00287244	0
1|R6Y6G8	0.003317	0	0
1|R6YQM5	0	0	0
1|R6ZV05	0	0	0
1|R7BMA1	0	0	0
1|R7CAD7	0	0.00762301	0
1|R7FAS3	0	0	0
1|R7G193	0	0	0
1|R7GU60	0.00291896	0.0363363	0.00863696
1|R7HGQ1	0	0.0320615	0.000971173
1|R7IBR1	0	0	0.00843277
1|R7ISW1	0.0019902	0.0371621	0.0022337
1|R7KUL9	0.0489185	0.00962266	0
1|R7LAG6	0	0.00104884	0
1|R7M150	0	0.00103228	0
1|R7MK06	0	0	0
1|R7NIX0	0	0	0
1|R7NLG3	0	0	0
1|R8E483	0	0	0
1|R9J3U7	0.0167177	0.00858859	0.00134022
1|R9PRF2	0	0	0
1|S0FHQ8	0	0	0
1|S2VS24	0	0	0
1|S2ZUL3	0	0	0
1|S5ZZY6	0	0	0
1|S6EQ42	0	0	0
1|T0PFD1	0	0	0
1|T2IT99	0	0	0
1|U2BLR5	0	0	0
1|U2EAP1	0	0	0
1|U2K442	0	0	0
1|U2XRL0	0	0	0
1|U4KMD5	0	0	0
1|U4KSF6	0	0	0
1|U5MPB3	0	0	0
1|U7D5X6	0	0	0
1|U7KGE3	0	0	0
1|U7VA80	0	0	0
1|U9VLT2	0	0	0
1|V2ZAA1	0	0	0
1|V5WHS1	0	0	0
1|V6IU96	0.00636864	0.0104054	0
1|V7I3D1	0	0	0
1|V8CC19	0	0	0
1|V9G485	0	0	0
1|V9WB37	0	0	0
1|W0EA48	0	0	0
1|W1Q2P8	0	0	0
1|W2EIS8	0	0	0
1|W4QUX5	0	0	0
1|W6N607	0	0	0
1|W6S476	0	0	0
1|W7CQT3	0	0	0
1|W7UHT1	0	0	0
1|W7VKM4	0	0	0
1|W8T837	0	0	0
1|W9H1J2	0	0	0
1|Z4WTL8	0	0	0
2|A0A010YDP8	0	0	0
2|A0A069RIN1	0	0	0
2|A0A073D0Q9	0	0	0
2|A0A075K6Y6	0	0	0
2|A0A076IN03	0.063023	0.0118488	0.165666
2|A0A081C2Q1	0	0	0
2|A0A084JDI2	0	0	0
2|A0A087E582	0	0	0
2|A0A099HT96	0	0	0
2|A0A099I4I6	0	0	0
2|A0A099SC67	0	0	0
2|A0A0A0DZT3	0	0	0
2|A0A0A2HZ06	0	0	0
2|A0A0C1TWQ5	0	0	0
2|A0A0D5N2J4	0	0	0
2|A0A0D8I9T1	0	0	0
2|A0A0D8JBF4	0	0	0
2|A0A0E3GQ57	0	0	0
2|A0A0F2NH50	0	0	0
2|A0A0F2PLF4	0	0	0
2|A0A0F2Q8G4	0	0	0
2|A0A0F9MWZ7	0	0	0
2|A0A0F9R027	0	0	0
2|A0A0J1FQQ7	0	0	0
2|A0A0J6ZP56	0	0	0
2|A0A0K8QY45	0	0	0
2|A0A0K9NGQ6	0	0	0
2|A0A0M2U4X7	0	0	0
2|A0A0M8JQ87	0	0	0
2|A0A0R1GFB5	0	0	0
2|A0A0S2HX23	0	0	0
2|A0A0S6W4L7	0	0	0
2|A0A0S7BH42	0	0	0
2|A0A0S7C483	0	0	0
2|A0A0S7XEM7	0	0	0
2|A0A0S7YGN3	0	0	0
2|A0A0S7YSZ0	0	0	0
2|A0A0S7ZHD1	0	0	0
2|A0A0S7ZKP1	0	0	0
2|A0A0S8B3C6	0	0	0
2|A0A0S8FRS7	0	0	0
2|A0A0S8H7Y7	0	0	0
2|A0A0S8HKW9	0	0	0
2|A0A0S8JE93	0	0	0
2|A0A0S8K0S6	0	0	0
2|A0A0S8K632	0	0	0
2|A0A0S8K8Y4	0	0	0
2|A0A101VEF7	0	0	0
2|A0A101VS48	0	0	0
2|A0A101WJ16	0	0	0
2|A0A117L5Y9	0	0	0
2|A0A117LM27	0	0	0
2|A0A135VPV8	0	0	0
2|A0A140L1N5	0	0	0
2|A0A150Y6N3	0	0	0
2|A0A151B7S6	0	0	0
2|A0A151EJY1	0	0	0
2|A0A151F8P6	0	0	0
2|A0A151F9E2	0	0	0
2|A0A151F9S9	0	0	0
2|A0A173RWW3	0	0.000165165	0.000727771
2|A0A174KHW2	0	0	0
2|A0A176U6T7	0	0	0
2|A4J8R5	0	0	0
2|A5N4Z6	0	0	0
2|A6TKU3	0	0	0
2|B2A1A1	0	0	0
2|B5EGM4	0	0	0
2|B6FXX5	0	0	0
2|C0QIN7	0	0	0
2|C7LR40	0	0	0
2|D1B6M6	0	0	0
2|D3PA11	0	0	0
2|D4CDD8	0	0	0
2|D4H8D6	0	0	0
2|E3CV25	0	0	0
2|E9RW04	0	0.00264264	0.000297826
2|F2LTL4	0	0	0
2|F6DS33	0	0	0
2|F9Z3G5	0.000552833	0.0055055	0.00558424
2|G4KZA5	0	0	0
2|G5GJG7	0	0	0
2|G6B6C6	0	0	0
2|G7MD03	0	0	0
2|G7V7P2	0	0	0
2|H1HV67	0	0	0
2|J0N1R7	0	0	0
2|K8EEC7	0	0	0
2|Q6AQM8	0	0	0
2|R2R5K9	0	0	0
2|R5I1N0	0	0	0
2|R5JGP5	0	0	0
2|R6D016	0	0	0
2|R7AIS9	0	0	0
2|R7D6G9	0	0	0
2|R7JLM7	0.0447074	0.00807873	0.0255742
2|S8GPK1	0	0	0
2|U2LWK4	0	0	0
2|U7VC55	0	0	0
2|V6Q678	0	0	0
2|W0JIJ0	0	0	0
3|A0A014M529	0	0	0
3|A0A029JE90	0	0	0
3|A0A072WX62	0	0	0
3|A0A072X1U1	0	0	0
3|A0A072XD82	0	0	0
3|A0A072YP78	0	0	0
3|A0A080K2C4	0	0	0
3|A0A090ZI26	0	0	0
3|A0A0B1U0W5	0	0	0
3|A0A0B3VKK8	0	0	0
3|A0A0B5QSQ0	0	0	0
3|A0A0B9GHX9	0	0	0
3|A0A0D6AXU7	0	0	0
3|A0A0D8ID41	0	0	0
3|A0A0E2PBT6	0	0	0
3|A0A0F4VU91	0	0	0
3|A0A0J1GEG1	0	0	0
3|A0A0J1LGR5	0	0	0
3|A0A0J6WYY4	0	0	0
3|A0A0L0QK20	0	0	0
3|A0A0L6TVF9	0	0	0
3|A0A0L6U187	0	0	0
3|A0A0M0A6V8	0	0	0
3|A0A133SKD4	0	0	0
3|A0A134AP14	0	0	0
3|A0A134CD09	0	0	0
3|A0A134CDD5	0	0	0
3|A0A139D8L1	0	0	0
3|A0A151APF4	0	0	0
3|A0A161X9W5	0	0	0
3|A0A173S5X5	0	0	0
3|A0A173WTZ1	0	0.00075075	0
3|A0A173ZPK8	0	0.000703149	0.000331082
3|A0A174KQS2	0	0	0
3|A0A174V663	0	0	0
3|A0A174VYU8	0	0	0
3|A8S5K2	0	0	0
3|A8S5M4	0	0	0
3|A9KN53	0	0	0
3|B6W8K7	0	0	0
3|C0EBN6	0	0	0
3|C0EZV6	0	0	0
3|C0FSK3	0	0	0
3|C4G9K3	0	0	0
3|C4IGE1	0	0	0
3|C4XNE3	0	0	0
3|C6BVU8	0	0	0
3|D4LJT1	0	0	0
3|E0QH07	0	0	0
3|E6MIT5	0	0	0
3|E6MIX1	0	0	0
3|F9N5P5	0	0	0
3|G4D1T7	0	0	0
3|G4KZW7	0	0	0
3|G6EYM2	0	0	0
3|H2IE47	0	0	0
3|J0MZX3	0	0	0
3|L1QHD0	0	0	0
3|N1ZXR5	0.000603091	0.00287244	0.00101532
3|N9WCT5	0	0	0
3|Q21A60	0	0	0
3|Q3A4R4	0	0	0
3|Q896R2	0	0	0
3|R5WQJ0	0	0	0
3|R6MMR7	0	0	0
3|R6SRY4	0	0	0
3|R7BJA8	0	0	0
3|R7G068	0	0	0
3|R9JF23	0	0	0
3|R9MJT9	0	0	0
3|S6EK96	0	0	0
4|A0A014M5S7	0	0	0
4|A0A0D7KFU1	0	0	0
4|A0A0E3K3G5	0	0	0
4|A0A0F7HB35	0	0	0
4|A0A0F8UQ89	0	0	0
4|A0A0G3CRF8	0	0	0
4|A0A0H2QDC9	0	0	0
4|A0A0H3I8V8	0	0	0
4|A0A0J1CC58	0	0	0
4|A0A0J1FSV0	0	0	0
4|A0A0R1K819	0	0.00033033	0.000297826
4|A0A0S3K9R3	0	0	0
4|A0A0U1NVQ1	0	0	0
4|A0A100YR89	0	0	0
4|A0A133KAW7	0	0	0
4|A0A134A405	0	0	0
4|A0A134A578	0	0	0
4|A0A178K7C5	0	0	0
4|A6TUT5	0	0	0
4|A8MJE8	0	0	0
4|B8J0I2	0	0	0
4|C5EEA3	0	0.000990991	0
4|C6BX55	0	0	0
4|D1P2A0	0	0	0
4|D2KVE9	0	0	0
4|G1WHJ9	0	0	0
4|K8DYB7	0	0	0
4|Q30W70	0	0	0
4|Q30WW3	0	0	0
4|Q3A617	0	0	0
4|Q6AM73	0	0	0
4|R2T6T9	0	0	0
4|R4Y5E4	0	0	0
4|R9MND2	0	0	0
5|A0A091C839	0	0	0
5|A0A098R2N0	0	0	0
5|A0A099I2W8	0	0	0
5|A0A0A6S4M4	0	0	0
5|A0A0A7FYZ2	0	0	0
5|A0A0F4VRP2	0	0	0
5|A0A0I9WIZ4	0	0	0
